name,count
packetDropInterfaceDown:count,12005
packetDropInterfaceDown:sum(packetBytes),12005
passedUpPk:count,7245
packetDropNoCarrier:count,7035
packetDropNoCarrier:sum(packetBytes),7035
sentPacketToUpperLayer:sum(packetBytes),6580
sentPacketToLowerLayer:sum(packetBytes),6580
sentPacketToUpperLayer:count,6580
sentPacketToLowerLayer:count,6580
receivedPacketFromUpperLayer:sum(packetBytes),6580
receivedPacketFromUpperLayer:count,6580
receivedPacketFromLowerLayer:sum(packetBytes),6580
receivedPacketFromLowerLayer:count,6580
rcvdPkFromHl:count,5915
passedUpPk:sum(packetBytes),5915
rcvdPkFromHl:sum(packetBytes),5915
queueLength:last,4970
queueLength:max,4970
queueLength:timeavg,4970
queueBitLength:last,4970
queueBitLength:max,4970
queueBitLength:timeavg,4970
rxPkOk:count,4970
transmissionState:timeavg,4970
droppedPacketLengthsQueueOverflow:sum,4970
droppedPacketsQueueOverflow:count,4970
incomingPacketLengths:sum,4970
incomingPackets:count,4970
outgoingPacketLengths:sum,4970
outgoingPackets:count,4970
rxPkOk:sum(packetBytes),4970
txPk:count,4970
txPk:sum(packetBytes),4970
packetDropIncorrectlyReceived:count,4970
packetDropIncorrectlyReceived:sum(packetBytes),4970
rlcPacketLossDl:sum,3640
rlcPacketLossUl:sum,3640
rcvdD2DModeSwitchNotification:count,1400
averageCqiUl:count,1400
averageCqiDl:count,1400
arpResolutionCompleted:count,1365
arpResolutionFailed:count,1365
packetDropUndefined:sum(packetBytes),1365
packetDropAddressResolutionFailed:count,1365
packetDropAddressResolutionFailed:sum(packetBytes),1365
packetDropHopLimitReached:count,1365
packetDropHopLimitReached:sum(packetBytes),1365
packetDropForwardingDisabled:count,1365
packetDropForwardingDisabled:sum(packetBytes),1365
packetDropNoInterfaceFound:count,1365
packetDropNoInterfaceFound:sum(packetBytes),1365
packetDropNoRouteFound:count,1365
packetDropNoRouteFound:sum(packetBytes),1365
packetDropUndefined:count,1365
arpRequestSent:sum(packetBytes),1365
arpRequestSent:count,1365
arpReplySent:sum(packetBytes),1365
arpReplySent:count,1365
arpResolutionInitiated:count,1365
packetSent:count,1330
packetReceived:sum(packetBytes),1330
packetReceived:count,1330
packetSent:sum(packetBytes),1330
droppedPkWrongPort:count,1330
droppedPkBadChecksum:count,1330
cbrGeneratedBytes:timeavg,700
cbrGeneratedBytes:mean,700
cbrGeneratedBytes:sum,700
cbrGeneratedBytes:last(sumPerDuration),700
cbrGeneratedThroughput:sum,700
cbrGeneratedThroughput:last(sumPerDuration),700
cbrGeneratedThroughput:mean,700
pauseSent:count,700
pauseSent:sum,700
decapPk:count,700
decapPk:sum(packetBytes),700
encapPk:count,700
encapPk:sum(packetBytes),700
cbrReceivedBytes:sum,700
cbrReceivedThroughput:mean,700
cbrReceivedThroughput:sum,700
cbrFrameLoss:mean,700
measuredSinrUl:mean,623
measuredSinrDl:mean,623
avgServedBlocksUl:mean,420
avgServedBlocksDl:mean,420
