Sim,Tipo,Cluster,gNB,TX_dBm,UEs,Energia_W,Throughput_Mbps,Energia_J,Eficiencia_Mbps_por_J
toy3,CLUSTER,C1,4,20.0,10,47.0,37.5,47.0,0.7978723404255319
toy3,CLUSTER,C1,5,20.0,10,47.0,37.5,47.0,0.7978723404255319
toy3,CLUSTER,C1,6,20.0,10,47.0,37.5,47.0,0.7978723404255319
toy3,CLUSTER,C1,7,20.0,10,47.0,37.5,47.0,0.7978723404255319
toy3,CU_CLUSTER,C1,CU_1,20.0,40,120.0,0.0,120.0,0.0
toy3,CLUSTER,C2,8,20.0,10,47.0,37.5,47.0,0.7978723404255319
toy3,CLUSTER,C2,9,20.0,10,47.0,37.5,47.0,0.7978723404255319
toy3,CLUSTER,C2,10,20.0,10,47.0,37.5,47.0,0.7978723404255319
toy3,CU_CLUSTER,C2,CU_2,20.0,30,120.0,0.0,120.0,0.0
toy3,CLUSTER,C3,11,20.0,10,47.0,37.5,47.0,0.7978723404255319
toy3,CLUSTER,C3,12,20.0,10,47.0,37.5,47.0,0.7978723404255319
toy3,CU_CLUSTER,C3,CU_3,20.0,20,120.0,0.0,120.0,0.0
toy3,CLUSTER,C1,4,23.0,10,49.400000000000006,43.125,49.400000000000006,0.8729757085020242
toy3,CLUSTER,C1,5,23.0,10,49.400000000000006,43.125,49.400000000000006,0.8729757085020242
toy3,CLUSTER,C1,6,23.0,10,49.400000000000006,43.125,49.400000000000006,0.8729757085020242
toy3,CLUSTER,C1,7,23.0,10,49.400000000000006,43.125,49.400000000000006,0.8729757085020242
toy3,CU_CLUSTER,C1,CU_1,23.0,40,120.0,0.0,120.0,0.0
toy3,CLUSTER,C2,8,23.0,10,49.400000000000006,43.125,49.400000000000006,0.8729757085020242
toy3,CLUSTER,C2,9,23.0,10,49.400000000000006,43.125,49.400000000000006,0.8729757085020242
toy3,CLUSTER,C2,10,23.0,10,49.400000000000006,43.125,49.400000000000006,0.8729757085020242
toy3,CU_CLUSTER,C2,CU_2,23.0,30,120.0,0.0,120.0,0.0
toy3,CLUSTER,C3,11,23.0,10,49.400000000000006,43.125,49.400000000000006,0.8729757085020242
toy3,CLUSTER,C3,12,23.0,10,49.400000000000006,43.125,49.400000000000006,0.8729757085020242
toy3,CU_CLUSTER,C3,CU_3,23.0,20,120.0,0.0,120.0,0.0
toy3,CLUSTER,C1,4,26.0,10,51.8,48.75,51.8,0.9411196911196912
toy3,CLUSTER,C1,5,26.0,10,51.8,48.75,51.8,0.9411196911196912
toy3,CLUSTER,C1,6,26.0,10,51.8,48.75,51.8,0.9411196911196912
toy3,CLUSTER,C1,7,26.0,10,51.8,48.75,51.8,0.9411196911196912
toy3,CU_CLUSTER,C1,CU_1,26.0,40,120.0,0.0,120.0,0.0
toy3,CLUSTER,C2,8,26.0,10,51.8,48.75,51.8,0.9411196911196912
toy3,CLUSTER,C2,9,26.0,10,51.8,48.75,51.8,0.9411196911196912
toy3,CLUSTER,C2,10,26.0,10,51.8,48.75,51.8,0.9411196911196912
toy3,CU_CLUSTER,C2,CU_2,26.0,30,120.0,0.0,120.0,0.0
toy3,CLUSTER,C3,11,26.0,10,51.8,48.75,51.8,0.9411196911196912
toy3,CLUSTER,C3,12,26.0,10,51.8,48.75,51.8,0.9411196911196912
toy3,CU_CLUSTER,C3,CU_3,26.0,20,120.0,0.0,120.0,0.0
toy3,CLUSTER,C1,4,29.0,10,54.2,54.375,54.2,1.0032287822878228
toy3,CLUSTER,C1,5,29.0,10,54.2,54.375,54.2,1.0032287822878228
toy3,CLUSTER,C1,6,29.0,10,54.2,54.375,54.2,1.0032287822878228
toy3,CLUSTER,C1,7,29.0,10,54.2,54.375,54.2,1.0032287822878228
toy3,CU_CLUSTER,C1,CU_1,29.0,40,120.0,0.0,120.0,0.0
toy3,CLUSTER,C2,8,29.0,10,54.2,54.375,54.2,1.0032287822878228
toy3,CLUSTER,C2,9,29.0,10,54.2,54.375,54.2,1.0032287822878228
toy3,CLUSTER,C2,10,29.0,10,54.2,54.375,54.2,1.0032287822878228
toy3,CU_CLUSTER,C2,CU_2,29.0,30,120.0,0.0,120.0,0.0
toy3,CLUSTER,C3,11,29.0,10,54.2,54.375,54.2,1.0032287822878228
toy3,CLUSTER,C3,12,29.0,10,54.2,54.375,54.2,1.0032287822878228
toy3,CU_CLUSTER,C3,CU_3,29.0,20,120.0,0.0,120.0,0.0
toy3,CLUSTER,C1,4,32.0,10,56.6,60.0,56.6,1.0600706713780919
toy3,CLUSTER,C1,5,32.0,10,56.6,60.0,56.6,1.0600706713780919
toy3,CLUSTER,C1,6,32.0,10,56.6,60.0,56.6,1.0600706713780919
toy3,CLUSTER,C1,7,32.0,10,56.6,60.0,56.6,1.0600706713780919
toy3,CU_CLUSTER,C1,CU_1,32.0,40,120.0,0.0,120.0,0.0
toy3,CLUSTER,C2,8,32.0,10,56.6,60.0,56.6,1.0600706713780919
toy3,CLUSTER,C2,9,32.0,10,56.6,60.0,56.6,1.0600706713780919
toy3,CLUSTER,C2,10,32.0,10,56.6,60.0,56.6,1.0600706713780919
toy3,CU_CLUSTER,C2,CU_2,32.0,30,120.0,0.0,120.0,0.0
toy3,CLUSTER,C3,11,32.0,10,56.6,60.0,56.6,1.0600706713780919
toy3,CLUSTER,C3,12,32.0,10,56.6,60.0,56.6,1.0600706713780919
toy3,CU_CLUSTER,C3,CU_3,32.0,20,120.0,0.0,120.0,0.0
